Nama Restoran,Jenis Makanan,Alamat,Harga,Rating,Timestamp,Kota,combined_features
Satu Dunia Satu Cinta,Vegetarian,"Jl. A1 No. 34, Teluk Gong, Jakarta Utara",50000,4.27,2025-06-03 22:28:57.078308,Jakarta Utara,Vegetarian Vegetarian Jakarta Utara
Java Soul Coffee,Kafe,"Jl. Kemang Timur Raya No. 50E, Kemang, Jakarta Selatan",75000,4.04,2025-06-03 22:28:57.379131,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Chateraise,Toko Kue,"Grand Indonesia Mall, Lantai 3A, East Mall
Jl. MH Thamrin, Thamrin, Jakarta Pusat",75000,4.02,2025-06-03 22:28:57.677810,Jakarta Pusat,Toko Kue Toko Kue Jakarta Pusat
Gyu Kaku,Jepang,"Setiabudi One, Lantai Ground
Jl. HR Rasuna Said, Setiabudi, Jakarta Selatan",200000,4.2,2025-06-03 22:29:01.464808,Jakarta Selatan,Jepang Jepang Jakarta Selatan
Union,Barat,"PIK Avenue, Lantai Ground
Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",150000,3.97,2025-06-03 22:29:01.758046,Jakarta Utara,Barat Barat Jakarta Utara
Sedjuk Bakmi  Kopi,Kafe,"Gedung Filateli Jakarta, Pos Bloc
Jl. Pos No. 2, Pasar Baru, Sawah Besar, Jakarta Pusat",75000,4.03,2025-06-03 22:29:02.053459,Jakarta Pusat,Kafe Kafe Jakarta Pusat
VIN Wine  Beyond,"Italia,Barat","Jl. Kemang Raya No. 45B, Kemang, Jakarta Selatan",150000,4.05,2025-06-03 22:29:02.340119,Jakarta Selatan,"Italia,Barat Italia,Barat Jakarta Selatan"
MAD Bagel,Toko Kue,"Jl. Pejaten Barat II No. 10A, Pasar Minggu, Jakarta Selatan",50000,4.06,2025-06-03 22:29:02.637472,Jakarta Selatan,Toko Kue Toko Kue Jakarta Selatan
Noon Tea Bar,Kafe,"Jl. Panglima Polim IX No. 4, Panglima Polim, Kebayoran Baru, Jakarta Selatan",50000,4.05,2025-06-03 22:29:02.939512,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Nur Corner,Kafe,"Jl. Jenggala II No. 9, Senopati, Kebayoran Baru, Jakarta Selatan",75000,4.34,2025-06-03 22:29:03.247407,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Bijin Nabe,Jepang,"Plaza Senayan, Lantai 5
Jl. Asia Afrika, Senayan, Jakarta Selatan",150000,3.96,2025-06-03 22:29:03.528726,Jakarta Selatan,Jepang Jepang Jakarta Selatan
Basilico,Italia,"Gandaria City, Lantai Ground, Mainstreet Dining
Jl. Sultan Iskandar Muda, Gandaria, Jakarta Selatan",150000,4.14,2025-06-03 22:29:03.826923,Jakarta Selatan,Italia Italia Jakarta Selatan
Sate  Seafood Senayan,Indonesia,"Jl. Cideng Timur No. 76, Cideng, Jakarta Pusat",75000,4.01,2025-06-03 22:29:04.124517,Jakarta Pusat,Indonesia Indonesia Jakarta Pusat
Djournal Coffee,Kafe,"Pasaraya Blok M, Lantai Ground
Jl. Iskandarsyah II, Blok M, Kebayoran Baru, Jakarta Selatan",75000,4.16,2025-06-03 22:29:04.431087,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Clovia  Mercure Jakarta Sabang,"Barat,Arab/Timur Tengah,Indonesia","Mercure Jakarta Sabang
Jl. H. Agus Salim No. 11, Menteng, Jakarta Pusat",150000,4.18,2025-06-03 22:29:04.735263,Jakarta Pusat,"Barat,Arab/Timur Tengah,Indonesia Barat,Arab/Timur Tengah,Indonesia Jakarta Pusat"
Makaroni Ngehe,Snack,"Jl. Tebet Raya No. 28, Tebet, Jakarta Selatan",50000,4.22,2025-06-03 22:29:08.404034,Jakarta Selatan,Snack Snack Jakarta Selatan
