Nama Restoran,Jenis Makanan,Alamat,Harga,Rating,Timestamp
Okinawa Sushi,Jepang,"Central Park, Lantai Lower Ground
Jl. Letjen S. Parman, Slipi, Jakarta Barat",150000,4.36,2025-06-03 22:21:50.725574
Social Garden,"Barat, Indonesia","Senayan City, Lantai Ground
Jl. Asia Afrika, Senayan, Jakarta Selatan",200000,4.27,2025-06-03 22:21:50.933547
Fish & Chips ThreeHouse,"Barat,Indonesia","Apartemen Park Royale, Tower Lobby 1
Jl. Gatot Subroto, Gatot Subroto, Jakarta Pusat",75000,4.32,2025-06-03 22:21:51.189749
Olive Tree House of Croissants,Kafe,"Komplek Taman Permata Buana, Blok M4 No. 6
Jl. Pulau Sebaru, Puri, Jakarta Barat",75000,4.27,2025-06-03 22:21:51.424786
Lustre,Kafe,"Pondok Indah Mall 3, Lantai 1
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",75000,4.4,2025-06-03 22:21:51.667246
Blue Terrace - Hotel Ayana Midplaza Jakarta,Kafe,"Hotel Ayana Midplaza Jakarta, Lantai Lobby
Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat",150000,4.43,2025-06-03 22:21:51.855630
Bruno Cafe In The Park,Kafe,"Jl. Taman Margasatwa No. 9G (Jl. Griya Tapa), Pasar Minggu, Jakarta Selatan",150000,4.42,2025-06-03 22:21:52.002934
Tadaima Japanese Bakery,Toko Roti,"Jl. Pluit Sakti Raya No. 46, Pluit, Penjaringan, Jakarta Utara",50000,4.38,2025-06-03 22:21:55.807029
Blau Eatery & Coffee,Kafe,"Jl. Pelepah Elok I Blok QA2 No. 7, Kelapa Gading, Jakarta Utara",150000,4.35,2025-06-03 22:21:56.053924
Le Gran Cafe - Hotel Gran Mahakam,Indonesia,"Hotel Gran Mahakam, Lantai Mezzanine
Jl. Mahakam I No. 8, Blok M, Kebayoran Baru, Jakarta Selatan",200000,4.24,2025-06-03 22:21:56.302789
Skye,Barat,"Menara BCA, Lantai 56
Jl. MH Thamrin, Thamrin, Jakarta Pusat",200000,4.27,2025-06-03 22:21:56.529055
Tata Cakery,Kafe,"Ruko Exclusive, Blok G No. 25, Bukit Golf Mediterania
Jl. Marina Indah Raya, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",75000,4.27,2025-06-03 22:21:56.771544
Padang Merdeka,Indonesia,"Jl. Lada No. 1, Kota, Jakarta Barat",75000,4.24,2025-06-03 22:21:57.041609
2Tang 2Go,Kafe,"Ruko Grand Puri Niaga, Blok K6 No. 3R
Jl. Puri Kencana Raya, Puri, Jakarta Barat",50000,4.43,2025-06-03 22:21:57.306422
The Writers Bar - Raffles Jakarta Hotel,Barat,"Raffles Jakarta Hotel, Lantai Ground
Jl. Prof Dr Satrio No. 3 - 5, Karet Kuningan, Setiabudi, Jakarta Selatan",200000,4.37,2025-06-03 22:21:57.572201
Mardin Fine Baklava Cafe,Kafe,"Jl. Kemang Utara No. 16B, Kemang, Jakarta Selatan",150000,4.42,2025-06-03 22:21:57.826224
Remboelan,Indonesia,"Central Park, Lantai 1
Jl. Letjen S. Parman, Slipi, Jakarta Barat",75000,4.28,2025-06-03 22:21:58.082321
Kohai Sushi Bar,Jepang,"Kuningan Guest House
Jl. Perintis No. 16, Kuningan, Jakarta Selatan",150000,4.38,2025-06-03 22:21:58.342028
Sushi Hiro,Jepang,"Pacific Place Mall, Lantai 5
Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",150000,4.48,2025-06-03 22:21:58.596391
Sugar & Spice - Hotel InterContinental Jakarta Pondok Indah,,"Hotel InterContinental Jakarta Pondok Indah, Lantai 1
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",200000,4.54,2025-06-03 22:22:02.293375
Enmaru,Jepang,"Altitude The Plaza, Lantai 46
Jl. MH Thamrin Kav. 28 - 30, Thamrin, Jakarta Pusat",200000,4.21,2025-06-03 22:22:02.558590
Shabu Siy,Jepang,"Jl. Cipete Raya No. 12C, Fatmawati, Jakarta Selatan",200000,4.4,2025-06-03 22:22:02.807545
Monsieur Spoon,Kafe,"Pondok Indah Mall 1, Street Gallery, Lantai Ground
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",150000,4.22,2025-06-03 22:22:03.064580
Dough Lab,Toko Kue,"Central Park, Lantai Lower Ground
Jl. Letjen S. Parman, Slipi, Jakarta Barat",75000,4.29,2025-06-03 22:22:03.329121
Rumah Kopi Papowi,Kafe,"Ruko Beach View, Blok A No. 25
Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",75000,4.45,2025-06-03 22:22:03.589769
Marutama Ra-men,Jepang,"Sentral Senayan 1, Lantai Basement
Jl. Asia Afrika No. 8, Senayan, Jakarta Selatan",150000,4.21,2025-06-03 22:22:03.852530
Mardin Baklava Patisserie,Kafe,"Jl. Cipinang Jaya No. 74, Jatinegara, Jakarta Timur",75000,4.36,2025-06-03 22:22:04.122082
